Model,Features,Accuracy,F1,ROC_AUC
Random Forest,PCA 20,0.7060367454068242,0.6056338028169014,0.7503676470588235
XGBoost,Top Features,0.7034120734908137,0.6169491525423729,0.7489536199095022
XGBoost,PCA 20,0.6876640419947506,0.5993265993265994,0.7399886877828055
XGBoost,All Features,0.7139107611548556,0.6378737541528239,0.7394796380090498
Logistic Regression,PCA 20,0.6929133858267716,0.6006825938566553,0.7376131221719457
XGBoost,Clinical Only,0.6824146981627297,0.5898305084745763,0.7146210407239819
Random Forest,All Features,0.6745406824146981,0.515625,0.7108314479638008
Logistic Regression,Clinical Only,0.6640419947506562,0.5761589403973509,0.7064479638009049
Random Forest,Top Features,0.6666666666666666,0.5058365758754864,0.6987980769230769
Random Forest,Clinical Only,0.6771653543307087,0.5967213114754099,0.6941035067873302
Logistic Regression,Top Features,0.6404199475065617,0.5861027190332326,0.6711255656108599
Logistic Regression,All Features,0.6404199475065617,0.5861027190332326,0.6711255656108599
